26/10/2012
V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530140E+3	-1.719000E+2	-3.519000E+2	1.530140E+3	-1.151000E+2	-2.932000E+2	1.531400E+3	-8.942000E+1	-2.134200E+2	1.530140E+3	-1.179000E+2	-2.974000E+2	1.530140E+3	-1.196000E+2	-2.569000E+2	1.530140E+3	-1.407000E+2	-2.798000E+2	1.530140E+3	-1.420000E+2	-3.210000E+2
1.530150E+3	-1.722000E+2	-3.522000E+2	1.530150E+3	-1.150000E+2	-2.931000E+2	1.531500E+3	-9.020000E+1	-2.142000E+2	1.530150E+3	-1.180000E+2	-2.975000E+2	1.530150E+3	-1.199000E+2	-2.572000E+2	1.530150E+3	-1.409000E+2	-2.800000E+2	1.530150E+3	-1.418000E+2	-3.208000E+2
1.530160E+3	-1.725000E+2	-3.525000E+2	1.530160E+3	-1.148000E+2	-2.929000E+2	1.531600E+3	-9.053000E+1	-2.145300E+2	1.530160E+3	-1.182000E+2	-2.977000E+2	1.530160E+3	-1.201000E+2	-2.574000E+2	1.530160E+3	-1.412000E+2	-2.803000E+2	1.530160E+3	-1.417000E+2	-3.207000E+2
1.530170E+3	-1.728000E+2	-3.528000E+2	1.530170E+3	-1.147000E+2	-2.928000E+2	1.531700E+3	-8.785000E+1	-2.118500E+2	1.530170E+3	-1.184000E+2	-2.979000E+2	1.530170E+3	-1.205000E+2	-2.578000E+2	1.530170E+3	-1.415000E+2	-2.806000E+2	1.530170E+3	-1.417000E+2	-3.207000E+2
1.530180E+3	-1.730000E+2	-3.530000E+2	1.530180E+3	-1.146000E+2	-2.927000E+2	1.531800E+3	-8.557000E+1	-2.095700E+2	1.530180E+3	-1.187000E+2	-2.982000E+2	1.530180E+3	-1.206000E+2	-2.579000E+2	1.530180E+3	-1.417000E+2	-2.808000E+2	1.530180E+3	-1.417000E+2	-3.207000E+2
1.530190E+3	-1.734000E+2	-3.534000E+2	1.530190E+3	-1.146000E+2	-2.927000E+2	1.531900E+3	-8.207000E+1	-2.060700E+2	1.530190E+3	-1.188000E+2	-2.983000E+2	1.530190E+3	-1.207000E+2	-2.580000E+2	1.530190E+3	-1.418000E+2	-2.809000E+2	1.530190E+3	-1.416000E+2	-3.206000E+2
1.530200E+3	-1.738000E+2	-3.538000E+2	1.530200E+3	-1.144000E+2	-2.925000E+2	1.532000E+3	-7.538000E+1	-1.993800E+2	1.530200E+3	-1.188000E+2	-2.983000E+2	1.530200E+3	-1.209000E+2	-2.582000E+2	1.530200E+3	-1.421000E+2	-2.812000E+2	1.530200E+3	-1.415000E+2	-3.205000E+2
1.530210E+3	-1.741000E+2	-3.541000E+2	1.530210E+3	-1.143000E+2	-2.924000E+2	1.532100E+3	-7.370000E+1	-1.977000E+2	1.530210E+3	-1.188000E+2	-2.983000E+2	1.530210E+3	-1.210000E+2	-2.583000E+2	1.530210E+3	-1.422000E+2	-2.813000E+2	1.530210E+3	-1.414000E+2	-3.204000E+2
1.530220E+3	-1.744000E+2	-3.544000E+2	1.530220E+3	-1.141000E+2	-2.922000E+2	1.532200E+3	-7.270000E+1	-1.967000E+2	1.530220E+3	-1.189000E+2	-2.984000E+2	1.530220E+3	-1.209000E+2	-2.582000E+2	1.530220E+3	-1.423000E+2	-2.814000E+2	1.530220E+3	-1.413000E+2	-3.203000E+2
1.530230E+3	-1.749000E+2	-3.549000E+2	1.530230E+3	-1.141000E+2	-2.922000E+2	1.532300E+3	-7.269000E+1	-1.966900E+2	1.530230E+3	-1.191000E+2	-2.986000E+2	1.530230E+3	-1.209000E+2	-2.582000E+2	1.530230E+3	-1.423000E+2	-2.814000E+2	1.530230E+3	-1.412000E+2	-3.202000E+2
