24/10/2012
V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530180E+3	-3.441500E+1	-4.675000E+0	1.530180E+3	-3.447100E+1	-4.160000E+0	1.530180E+3	-3.415800E+1	-3.837000E+0	1.530180E+3	-3.339200E+1	-3.093000E+0	1.530180E+3	-3.425000E+1	-3.966000E+0	1.530180E+3	-3.459900E+1	-4.107000E+0
1.530190E+3	-3.440900E+1	-4.669000E+0	1.530190E+3	-3.450700E+1	-4.196000E+0	1.530190E+3	-3.415800E+1	-3.837000E+0	1.530190E+3	-3.338300E+1	-3.084000E+0	1.530190E+3	-3.425500E+1	-3.971000E+0	1.530190E+3	-3.455500E+1	-4.063000E+0
1.530200E+3	-3.440400E+1	-4.664000E+0	1.530200E+3	-3.452900E+1	-4.218000E+0	1.530200E+3	-3.414800E+1	-3.827000E+0	1.530200E+3	-3.342900E+1	-3.130000E+0	1.530200E+3	-3.426100E+1	-3.977000E+0	1.530200E+3	-3.453900E+1	-4.047000E+0
1.530210E+3	-3.438100E+1	-4.641000E+0	1.530210E+3	-3.453900E+1	-4.228000E+0	1.530210E+3	-3.413600E+1	-3.815000E+0	1.530210E+3	-3.343100E+1	-3.132000E+0	1.530210E+3	-3.424300E+1	-3.959000E+0	1.530210E+3	-3.452200E+1	-4.030000E+0
1.530220E+3	-3.434900E+1	-4.609000E+0	1.530220E+3	-3.451900E+1	-4.208000E+0	1.530220E+3	-3.411700E+1	-3.796000E+0	1.530220E+3	-3.341900E+1	-3.120000E+0	1.530220E+3	-3.421100E+1	-3.927000E+0	1.530220E+3	-3.451600E+1	-4.024000E+0
1.530230E+3	-3.432600E+1	-4.586000E+0	1.530230E+3	-3.450100E+1	-4.190000E+0	1.530230E+3	-3.409500E+1	-3.774000E+0	1.530230E+3	-3.340400E+1	-3.105000E+0	1.530230E+3	-3.418600E+1	-3.902000E+0	1.530230E+3	-3.450100E+1	-4.009000E+0
1.530240E+3	-3.429300E+1	-4.553000E+0	1.530240E+3	-3.446300E+1	-4.152000E+0	1.530240E+3	-3.410800E+1	-3.787000E+0	1.530240E+3	-3.339700E+1	-3.098000E+0	1.530240E+3	-3.416700E+1	-3.883000E+0	1.530240E+3	-3.451200E+1	-4.020000E+0
1.530250E+3	-3.430000E+1	-4.560000E+0	1.530250E+3	-3.445000E+1	-4.139000E+0	1.530250E+3	-3.410100E+1	-3.780000E+0	1.530250E+3	-3.338300E+1	-3.084000E+0	1.530250E+3	-3.417200E+1	-3.888000E+0	1.530250E+3	-3.451200E+1	-4.020000E+0
1.530260E+3	-3.430300E+1	-4.563000E+0	1.530260E+3	-3.446200E+1	-4.151000E+0	1.530260E+3	-3.406300E+1	-3.742000E+0	1.530260E+3	-3.341000E+1	-3.111000E+0	1.530260E+3	-3.419100E+1	-3.907000E+0	1.530260E+3	-3.450300E+1	-4.011000E+0
1.530270E+3	-3.435500E+1	-4.615000E+0	1.530270E+3	-3.445800E+1	-4.147000E+0	1.530270E+3	-3.407700E+1	-3.756000E+0	1.530270E+3	-3.341700E+1	-3.118000E+0	1.530270E+3	-3.418000E+1	-3.896000E+0	1.530270E+3	-3.448600E+1	-3.994000E+0
1.530280E+3	-3.434700E+1	-4.607000E+0	1.530280E+3	-3.443700E+1	-4.126000E+0	1.530280E+3	-3.407900E+1	-3.758000E+0	1.530280E+3	-3.340700E+1	-3.108000E+0	1.530280E+3	-3.420800E+1	-3.924000E+0	1.530280E+3	-3.446400E+1	-3.972000E+0
1.530290E+3	-3.434700E+1	-4.607000E+0	1.530290E+3	-3.444900E+1	-4.138000E+0	1.530290E+3	-3.407300E+1	-3.752000E+0	1.530290E+3	-3.340200E+1	-3.103000E+0	1.530290E+3	-3.422200E+1	-3.938000E+0	1.530290E+3	-3.443900E+1	-3.947000E+0
1.530300E+3	-3.435500E+1	-4.615000E+0	1.530300E+3	-3.443500E+1	-4.124000E+0	1.530300E+3	-3.408200E+1	-3.761000E+0	1.530300E+3	-3.340000E+1	-3.101000E+0	1.530300E+3	-3.422300E+1	-3.939000E+0	1.530300E+3	-3.443300E+1	-3.941000E+0
1.530310E+3	-3.432200E+1	-4.582000E+0	1.530310E+3	-3.444200E+1	-4.131000E+0	1.530310E+3	-3.404300E+1	-3.722000E+0	1.530310E+3	-3.341300E+1	-3.114000E+0	1.530310E+3	-3.421800E+1	-3.934000E+0	1.530310E+3	-3.441600E+1	-3.924000E+0
1.530320E+3	-3.431500E+1	-4.575000E+0	1.530320E+3	-3.442500E+1	-4.114000E+0	1.530320E+3	-3.403800E+1	-3.717000E+0	1.530320E+3	-3.340000E+1	-3.101000E+0	1.530320E+3	-3.419600E+1	-3.912000E+0	1.530320E+3	-3.443900E+1	-3.947000E+0
1.530330E+3	-3.430800E+1	-4.568000E+0	1.530330E+3	-3.441900E+1	-4.108000E+0	1.530330E+3	-3.403100E+1	-3.710000E+0	1.530330E+3	-3.341200E+1	-3.113000E+0	1.530330E+3	-3.419700E+1	-3.913000E+0	1.530330E+3	-3.444300E+1	-3.951000E+0
1.530340E+3	-3.432000E+1	-4.580000E+0	1.530340E+3	-3.438700E+1	-4.076000E+0	1.530340E+3	-3.404000E+1	-3.719000E+0	1.530340E+3	-3.342400E+1	-3.125000E+0	1.530340E+3	-3.422300E+1	-3.939000E+0	1.530340E+3	-3.441800E+1	-3.926000E+0
1.530350E+3	-3.428800E+1	-4.548000E+0	1.530350E+3	-3.434000E+1	-4.029000E+0	1.530350E+3	-3.400200E+1	-3.681000E+0	1.530350E+3	-3.340300E+1	-3.104000E+0	1.530350E+3	-3.422700E+1	-3.943000E+0	1.530350E+3	-3.442700E+1	-3.935000E+0
1.530360E+3	-3.427400E+1	-4.534000E+0	1.530360E+3	-3.432400E+1	-4.013000E+0	1.530360E+3	-3.398300E+1	-3.662000E+0	1.530360E+3	-3.339500E+1	-3.096000E+0	1.530360E+3	-3.419800E+1	-3.914000E+0	1.530360E+3	-3.444100E+1	-3.949000E+0
1.530370E+3	-3.429000E+1	-4.550000E+0	1.530370E+3	-3.432600E+1	-4.015000E+0	1.530370E+3	-3.399700E+1	-3.676000E+0	1.530370E+3	-3.340600E+1	-3.107000E+0	1.530370E+3	-3.420100E+1	-3.917000E+0	1.530370E+3	-3.442600E+1	-3.934000E+0
1.530380E+3	-3.431600E+1	-4.576000E+0	1.530380E+3	-3.431200E+1	-4.001000E+0	1.530380E+3	-3.400900E+1	-3.688000E+0	1.530380E+3	-3.338200E+1	-3.083000E+0	1.530380E+3	-3.419800E+1	-3.914000E+0	1.530380E+3	-3.442200E+1	-3.930000E+0
1.530390E+3	-3.431300E+1	-4.573000E+0	1.530390E+3	-3.429800E+1	-3.987000E+0	1.530390E+3	-3.398900E+1	-3.668000E+0	1.530390E+3	-3.337000E+1	-3.071000E+0	1.530390E+3	-3.420600E+1	-3.922000E+0	1.530390E+3	-3.441700E+1	-3.925000E+0
1.530400E+3	-3.431200E+1	-4.572000E+0	1.530400E+3	-3.433100E+1	-4.020000E+0	1.530400E+3	-3.402500E+1	-3.704000E+0	1.530400E+3	-3.338200E+1	-3.083000E+0	1.530400E+3	-3.421700E+1	-3.933000E+0	1.530400E+3	-3.440800E+1	-3.916000E+0
1.530410E+3	-3.432100E+1	-4.581000E+0	1.530410E+3	-3.432000E+1	-4.009000E+0	1.530410E+3	-3.403100E+1	-3.710000E+0	1.530410E+3	-3.338100E+1	-3.082000E+0	1.530410E+3	-3.420500E+1	-3.921000E+0	1.530410E+3	-3.441300E+1	-3.921000E+0
1.530420E+3	-3.429500E+1	-4.555000E+0	1.530420E+3	-3.432000E+1	-4.009000E+0	1.530420E+3	-3.402100E+1	-3.700000E+0	1.530420E+3	-3.335500E+1	-3.056000E+0	1.530420E+3	-3.419900E+1	-3.915000E+0	1.530420E+3	-3.441500E+1	-3.923000E+0
1.530430E+3	-3.429300E+1	-4.553000E+0	1.530430E+3	-3.431300E+1	-4.002000E+0	1.530430E+3	-3.399100E+1	-3.670000E+0	1.530430E+3	-3.339500E+1	-3.096000E+0	1.530430E+3	-3.418400E+1	-3.900000E+0	1.530430E+3	-3.442500E+1	-3.933000E+0
1.530440E+3	-3.429800E+1	-4.558000E+0	1.530440E+3	-3.430600E+1	-3.995000E+0	1.530440E+3	-3.399800E+1	-3.677000E+0	1.530440E+3	-3.338200E+1	-3.083000E+0	1.530440E+3	-3.418800E+1	-3.904000E+0	1.530440E+3	-3.440900E+1	-3.917000E+0
