26/07/2011
corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm
1.569800E+3	8.546000E+1	-9.454000E+1	1.567900E+3	-1.598000E+2	-3.397000E+2	1.567900E+3	-1.311000E+2	-3.111000E+2
1.569900E+3	9.098000E+1	-8.902000E+1	1.567950E+3	-1.844000E+1	-1.983400E+2	1.567950E+3	-1.350000E+2	-3.150000E+2
1.570000E+3	1.004000E+2	-7.960000E+1	1.568000E+3	-9.759000E+1	-2.774900E+2	1.568000E+3	-9.713000E+1	-2.771300E+2
1.570100E+3	1.185000E+2	-6.150000E+1	1.568050E+3	0.000000E+0	-1.799000E+2	1.568050E+3	0.000000E+0	-1.800000E+2
1.570200E+3	1.224000E+2	-5.760000E+1	1.568100E+3	-9.382000E+1	-2.737200E+2	1.568100E+3	-9.000000E+1	-2.700000E+2
1.570300E+3	1.251000E+2	-5.490000E+1	1.568150E+3	-8.557000E+1	-2.654700E+2	1.568150E+3	-7.977000E+1	-2.597700E+2
1.570400E+3	1.285000E+2	-5.150000E+1	1.568200E+3	-1.013000E+2	-2.812000E+2	1.568200E+3	-3.370000E+1	-2.137000E+2
1.570500E+3	1.479000E+2	-3.210000E+1	1.568250E+3	-7.869000E+1	-2.585900E+2	1.568250E+3	-5.904000E+1	-2.390400E+2
1.570600E+3	1.476000E+2	-3.240000E+1	1.568300E+3	-3.063000E+1	-2.105300E+2	1.568300E+3	-2.949000E+1	-2.094900E+2
1.570700E+3	1.427000E+2	-3.730000E+1	1.568350E+3	-2.891000E+1	-2.088100E+2	1.568350E+3	-2.515000E+1	-2.051500E+2
1.570800E+3	1.382000E+2	-4.180000E+1	1.568400E+3	-2.023000E+1	-2.001300E+2	1.568400E+3	-1.559000E+1	-1.955900E+2
1.570900E+3	1.479000E+2	-3.210000E+1	1.568450E+3	-1.005000E+1	-1.899500E+2	1.568450E+3	-4.094000E+0	-1.840940E+2
1.571000E+3	1.587000E+2	-2.130000E+1	1.568500E+3	-2.375000E+0	-1.822750E+2	1.568500E+3	5.063000E+0	-1.749370E+2
1.571100E+3	1.665000E+2	-1.350000E+1	1.568550E+3	6.594000E+0	-1.733060E+2	1.568550E+3	1.541000E+1	-1.645900E+2
1.571200E+3	1.706000E+2	-9.400000E+0	1.568600E+3	1.262000E+1	-1.672800E+2	1.568600E+3	2.351000E+1	-1.564900E+2
1.571300E+3	1.752000E+2	-4.800000E+0	1.568650E+3	1.564000E+1	-1.642600E+2	1.568650E+3	2.596000E+1	-1.540400E+2
1.571400E+3	1.790000E+2	-1.000000E+0	1.568700E+3	2.076000E+1	-1.591400E+2	1.568700E+3	3.250000E+1	-1.475000E+2
1.571500E+3	-1.754000E+2	-3.554000E+2	1.568750E+3	2.534000E+1	-1.545600E+2	1.568750E+3	3.838000E+1	-1.416200E+2
1.571600E+3	-1.696000E+2	-3.496000E+2	1.568800E+3	3.146000E+1	-1.484400E+2	1.568800E+3	4.596000E+1	-1.340400E+2
1.571700E+3	-1.619000E+2	-3.419000E+2	1.568850E+3	3.589000E+1	-1.440100E+2	1.568850E+3	5.225000E+1	-1.277500E+2
1.571800E+3	-1.588000E+2	-3.388000E+2	1.568900E+3	3.910000E+1	-1.408000E+2	1.568900E+3	5.645000E+1	-1.235500E+2
1.571900E+3	-1.631000E+2	-3.431000E+2	1.568950E+3	4.411000E+1	-1.357900E+2	1.568950E+3	6.110000E+1	-1.189000E+2
1.572000E+3	-1.704000E+2	-3.504000E+2	1.569000E+3	5.216000E+1	-1.277400E+2	1.569000E+3	6.690000E+1	-1.131000E+2
1.572100E+3	-1.783000E+2	-3.583000E+2	1.569050E+3	5.922000E+1	-1.206800E+2	1.569050E+3	7.524000E+1	-1.047600E+2
1.572200E+3	-1.757000E+2	-3.557000E+2	1.569100E+3	6.035000E+1	-1.195500E+2	1.569100E+3	7.986000E+1	-1.001400E+2
1.572300E+3	-1.775000E+2	-3.575000E+2	1.569150E+3	6.163000E+1	-1.182700E+2	1.569150E+3	8.150000E+1	-9.850000E+1
1.572400E+3	-1.698000E+2	-3.498000E+2	1.569200E+3	6.477000E+1	-1.151300E+2	1.569200E+3	8.609000E+1	-9.391000E+1
1.572500E+3	-1.620000E+2	-3.420000E+2	1.569250E+3	6.297000E+1	-1.169300E+2	1.569250E+3	8.569000E+1	-9.431000E+1
1.572600E+3	-1.528000E+2	-3.328000E+2	1.569300E+3	6.338000E+1	-1.165200E+2	1.569300E+3	8.706000E+1	-9.294000E+1
1.572700E+3	-1.589000E+2	-3.389000E+2	1.569350E+3	6.567000E+1	-1.142300E+2	1.569350E+3	9.069000E+1	-8.931000E+1
1.572800E+3	-1.604000E+2	-3.404000E+2	1.569400E+3	6.682000E+1	-1.130800E+2	1.569400E+3	9.236000E+1	-8.764000E+1
1.572900E+3	-1.633000E+2	-3.433000E+2	1.569450E+3	7.317000E+1	-1.067300E+2	1.569450E+3	9.976000E+1	-8.024000E+1
