06/03/2012
V740 C11 Middle set
Pin 0.6dBm
MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr51 _X	MZIcorr51_Y	MZIcorr51_Ynorm	MZIcorr101 _X	MZIcorr101_Y	MZIcorr101_Ynorm	corrWi1100_101taps _X	corrWi1100_101taps_Y	corrWi1100_101taps_Ynorm	corrWi1100_1001taps _X	corrWi1100_1001taps_Y	corrWi1100_1001taps_Ynorm
1.531800E+3	-2.538100E+1	-1.270000E-1	1.560900E+3	-2.910600E+1	-2.070000E-1	1.530900E+3	-2.236900E+1	-1.510000E-1	1.530900E+3	-2.215000E+1	-2.120000E-1	1.530900E+3	-5.024200E+1	-2.923800E+1	1.530900E+3	-6.170200E+1	-3.276800E+1
1.531900E+3	-2.541900E+1	-1.650000E-1	1.560950E+3	-2.913600E+1	-2.370000E-1	1.530950E+3	-2.237900E+1	-1.610000E-1	1.530950E+3	-2.210700E+1	-1.690000E-1	1.530950E+3	-5.030400E+1	-2.930000E+1	1.530950E+3	-6.178200E+1	-3.284800E+1
1.532000E+3	-2.542300E+1	-1.690000E-1	1.561000E+3	-2.914400E+1	-2.450000E-1	1.531000E+3	-2.242900E+1	-2.110000E-1	1.531000E+3	-2.204300E+1	-1.050000E-1	1.531000E+3	-5.034400E+1	-2.934000E+1	1.531000E+3	-6.180700E+1	-3.287300E+1
1.532100E+3	-2.543900E+1	-1.850000E-1	1.561050E+3	-2.929000E+1	-3.910000E-1	1.531050E+3	-2.243400E+1	-2.160000E-1	1.531050E+3	-2.203900E+1	-1.010000E-1	1.531050E+3	-5.039000E+1	-2.938600E+1	1.531050E+3	-6.178000E+1	-3.284600E+1
1.532200E+3	-2.538900E+1	-1.350000E-1	1.561100E+3	-2.944900E+1	-5.500000E-1	1.531100E+3	-2.242500E+1	-2.070000E-1	1.531100E+3	-2.203700E+1	-9.900000E-2	1.531100E+3	-5.041500E+1	-2.941100E+1	1.531100E+3	-6.176400E+1	-3.283000E+1
1.532300E+3	-2.535600E+1	-1.020000E-1	1.561150E+3	-2.944900E+1	-5.500000E-1	1.531150E+3	-2.242000E+1	-2.020000E-1	1.531150E+3	-2.200300E+1	-6.500000E-2	1.531150E+3	-5.039200E+1	-2.938800E+1	1.531150E+3	-6.174800E+1	-3.281400E+1
1.532400E+3	-2.532200E+1	-6.800000E-2	1.561200E+3	-2.934800E+1	-4.490000E-1	1.531200E+3	-2.245400E+1	-2.360000E-1	1.531200E+3	-2.203300E+1	-9.500000E-2	1.531200E+3	-5.031400E+1	-2.931000E+1	1.531200E+3	-6.162000E+1	-3.268600E+1
1.532500E+3	-2.531300E+1	-5.900000E-2	1.561250E+3	-2.939400E+1	-4.950000E-1	1.531250E+3	-2.251800E+1	-3.000000E-1	1.531250E+3	-2.209100E+1	-1.530000E-1	1.531250E+3	-5.025800E+1	-2.925400E+1	1.531250E+3	-6.153700E+1	-3.260300E+1
1.532600E+3	-2.526800E+1	-1.400000E-2	1.561300E+3	-2.939100E+1	-4.920000E-1	1.531300E+3	-2.249800E+1	-2.800000E-1	1.531300E+3	-2.210000E+1	-1.620000E-1	1.531300E+3	-5.029900E+1	-2.929500E+1	1.531300E+3	-6.160400E+1	-3.267000E+1
1.532700E+3	-2.527000E+1	-1.600000E-2	1.561350E+3	-2.924200E+1	-3.430000E-1	1.531350E+3	-2.247800E+1	-2.600000E-1	1.531350E+3	-2.209100E+1	-1.530000E-1	1.531350E+3	-5.027700E+1	-2.927300E+1	1.531350E+3	-6.162700E+1	-3.269300E+1
