24/10/2012
V740D9_TMnoRing_-0.75dBm _X	V740D9_TMnoRing_-0.75dBm_Y	V740D9_TMnoRing_-0.75dBm_Ynorm	V740D9_TMnoRing _X	V740D9_TMnoRing_Y	V740D9_TMnoRing_Ynorm	V740D9_TMr20g350 _X	V740D9_TMr20g350_Y	V740D9_TMr20g350_Ynorm	V740D9_TMr20g400 _X	V740D9_TMr20g400_Y	V740D9_TMr20g400_Ynorm	V740D9_TMr20g450 _X	V740D9_TMr20g450_Y	V740D9_TMr20g450_Ynorm	V740D9_TMr20g500 _X	V740D9_TMr20g500_Y	V740D9_TMr20g500_Ynorm	V740D9_TMr20g550 _X	V740D9_TMr20g550_Y	V740D9_TMr20g550_Ynorm	V740D9_TMr20g700 _X	V740D9_TMr20g700_Y	V740D9_TMr20g700_Ynorm	V740D9_TMr20g385g395 _X	V740D9_TMr20g385g395_Y	V740D9_TMr20g385g395_Ynorm	V740D9_TMr20g385g395 _X	V740D9_TMr20g385g395_Y	V740D9_TMr20g385g395_Ynorm	V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.535000E+3	-1.577000E+1	-1.450000E+0	1.450000E+3	-8.135200E+1	-4.884900E+1	1.450000E+3	-6.845500E+1	-3.889800E+1	1.450000E+3	-6.958300E+1	-4.010600E+1	1.450000E+3	-6.399700E+1	-3.483800E+1	1.450000E+3	-6.539100E+1	-3.587600E+1	1.450000E+3	-6.744600E+1	-3.816500E+1	1.450000E+3	-6.714400E+1	-3.787500E+1	1.450000E+3	-7.048700E+1	-4.070000E+1	1.500100E+3	-6.269500E+1	-3.301100E+1	1.530100E+3	-3.445200E+1	-4.712000E+0	1.530100E+3	-3.446900E+1	-4.158000E+0	1.530100E+3	-3.408400E+1	-3.763000E+0	1.530100E+3	-3.343300E+1	-3.134000E+0	1.530100E+3	-3.427000E+1	-3.986000E+0	1.530100E+3	-3.482500E+1	-4.333000E+0
1.535500E+3	-1.562700E+1	-1.307000E+0	1.450500E+3	-8.135200E+1	-4.884900E+1	1.450500E+3	-6.819600E+1	-3.863900E+1	1.450500E+3	-6.941700E+1	-3.994000E+1	1.450500E+3	-6.399000E+1	-3.483100E+1	1.450500E+3	-6.533600E+1	-3.582100E+1	1.450500E+3	-6.723400E+1	-3.795300E+1	1.450500E+3	-6.694000E+1	-3.767100E+1	1.450500E+3	-7.023600E+1	-4.044900E+1	1.500110E+3	-6.121200E+1	-3.152800E+1	1.530110E+3	-3.441200E+1	-4.672000E+0	1.530110E+3	-3.449300E+1	-4.182000E+0	1.530110E+3	-3.409100E+1	-3.770000E+0	1.530110E+3	-3.344200E+1	-3.143000E+0	1.530110E+3	-3.426400E+1	-3.980000E+0	1.530110E+3	-3.476100E+1	-4.269000E+0
1.536000E+3	-1.548300E+1	-1.163000E+0	1.451000E+3	-8.135200E+1	-4.884900E+1	1.451000E+3	-6.820900E+1	-3.865200E+1	1.451000E+3	-6.953600E+1	-4.005900E+1	1.451000E+3	-6.393200E+1	-3.477300E+1	1.451000E+3	-6.529900E+1	-3.578400E+1	1.451000E+3	-6.729800E+1	-3.801700E+1	1.451000E+3	-6.699000E+1	-3.772100E+1	1.451000E+3	-7.002800E+1	-4.024100E+1	1.500120E+3	-5.870800E+1	-2.902400E+1	1.530120E+3	-3.441200E+1	-4.672000E+0	1.530120E+3	-3.446200E+1	-4.151000E+0	1.530120E+3	-3.413900E+1	-3.818000E+0	1.530120E+3	-3.345200E+1	-3.153000E+0	1.530120E+3	-3.424800E+1	-3.964000E+0	1.530120E+3	-3.477100E+1	-4.279000E+0
1.536500E+3	-1.537400E+1	-1.054000E+0	1.451500E+3	-8.135200E+1	-4.884900E+1	1.451500E+3	-6.815800E+1	-3.860100E+1	1.451500E+3	-6.922100E+1	-3.974400E+1	1.451500E+3	-6.394700E+1	-3.478800E+1	1.451500E+3	-6.531200E+1	-3.579700E+1	1.451500E+3	-6.722700E+1	-3.794600E+1	1.451500E+3	-6.692600E+1	-3.765700E+1	1.451500E+3	-6.976900E+1	-3.998200E+1	1.500130E+3	-5.102800E+1	-2.134400E+1	1.530130E+3	-3.442700E+1	-4.687000E+0	1.530130E+3	-3.446800E+1	-4.157000E+0	1.530130E+3	-3.413200E+1	-3.811000E+0	1.530130E+3	-3.345200E+1	-3.153000E+0	1.530130E+3	-3.425200E+1	-3.968000E+0	1.530130E+3	-3.474300E+1	-4.251000E+0
1.537000E+3	-1.529900E+1	-9.790000E-1	1.452000E+3	-8.135200E+1	-4.884900E+1	1.452000E+3	-6.782300E+1	-3.826600E+1	1.452000E+3	-6.922700E+1	-3.975000E+1	1.452000E+3	-6.387400E+1	-3.471500E+1	1.452000E+3	-6.528800E+1	-3.577300E+1	1.452000E+3	-6.712600E+1	-3.784500E+1	1.452000E+3	-6.689000E+1	-3.762100E+1	1.452000E+3	-6.950000E+1	-3.971300E+1	1.500140E+3	-5.099800E+1	-2.131400E+1	1.530140E+3	-3.442200E+1	-4.682000E+0	1.530140E+3	-3.444400E+1	-4.133000E+0	1.530140E+3	-3.412300E+1	-3.802000E+0	1.530140E+3	-3.344500E+1	-3.146000E+0	1.530140E+3	-3.427100E+1	-3.987000E+0	1.530140E+3	-3.471700E+1	-4.225000E+0
1.537500E+3	-1.525700E+1	-9.370000E-1	1.452500E+3	-8.135200E+1	-4.884900E+1	1.452500E+3	-6.789700E+1	-3.834000E+1	1.452500E+3	-6.895100E+1	-3.947400E+1	1.452500E+3	-6.381200E+1	-3.465300E+1	1.452500E+3	-6.519800E+1	-3.568300E+1	1.452500E+3	-6.707700E+1	-3.779600E+1	1.452500E+3	-6.669000E+1	-3.742100E+1	1.452500E+3	-6.908600E+1	-3.929900E+1	1.500150E+3	-5.095400E+1	-2.127000E+1	1.530150E+3	-3.439000E+1	-4.650000E+0	1.530150E+3	-3.445700E+1	-4.146000E+0	1.530150E+3	-3.410500E+1	-3.784000E+0	1.530150E+3	-3.342600E+1	-3.127000E+0	1.530150E+3	-3.423700E+1	-3.953000E+0	1.530150E+3	-3.465500E+1	-4.163000E+0
1.538000E+3	-1.523400E+1	-9.140000E-1	1.453000E+3	-8.135200E+1	-4.884900E+1	1.453000E+3	-6.778200E+1	-3.822500E+1	1.453000E+3	-6.865900E+1	-3.918200E+1	1.453000E+3	-6.373600E+1	-3.457700E+1	1.453000E+3	-6.519200E+1	-3.567700E+1	1.453000E+3	-6.687700E+1	-3.759600E+1	1.453000E+3	-6.634200E+1	-3.707300E+1	1.453000E+3	-6.917100E+1	-3.938400E+1	1.500160E+3	-5.071000E+1	-2.102600E+1	1.530160E+3	-3.440600E+1	-4.666000E+0	1.530160E+3	-3.447400E+1	-4.163000E+0	1.530160E+3	-3.415300E+1	-3.832000E+0	1.530160E+3	-3.337300E+1	-3.074000E+0	1.530160E+3	-3.426800E+1	-3.984000E+0	1.530160E+3	-3.461600E+1	-4.124000E+0
1.538500E+3	-1.522300E+1	-9.030000E-1	1.453500E+3	-8.135200E+1	-4.884900E+1	1.453500E+3	-6.788400E+1	-3.832700E+1	1.453500E+3	-6.911300E+1	-3.963600E+1	1.453500E+3	-6.359600E+1	-3.443700E+1	1.453500E+3	-6.511800E+1	-3.560300E+1	1.453500E+3	-6.685600E+1	-3.757500E+1	1.453500E+3	-6.616400E+1	-3.689500E+1	1.453500E+3	-7.172500E+1	-4.193800E+1	1.500170E+3	-5.024400E+1	-2.056000E+1	1.530170E+3	-3.440300E+1	-4.663000E+0	1.530170E+3	-3.448200E+1	-4.171000E+0	1.530170E+3	-3.415700E+1	-3.836000E+0	1.530170E+3	-3.337700E+1	-3.078000E+0	1.530170E+3	-3.426400E+1	-3.980000E+0	1.530170E+3	-3.460100E+1	-4.109000E+0
1.539000E+3	-1.522900E+1	-9.090000E-1	1.454000E+3	-8.135200E+1	-4.884900E+1	1.454000E+3	-6.782200E+1	-3.826500E+1	1.454000E+3	-6.872200E+1	-3.924500E+1	1.454000E+3	-6.355400E+1	-3.439500E+1	1.454000E+3	-6.504000E+1	-3.552500E+1	1.454000E+3	-6.650100E+1	-3.722000E+1	1.454000E+3	-6.582000E+1	-3.655100E+1	1.454000E+3	-7.096200E+1	-4.117500E+1	1.500180E+3	-4.979400E+1	-2.011000E+1	1.530180E+3	-3.441500E+1	-4.675000E+0	1.530180E+3	-3.447100E+1	-4.160000E+0	1.530180E+3	-3.415800E+1	-3.837000E+0	1.530180E+3	-3.339200E+1	-3.093000E+0	1.530180E+3	-3.425000E+1	-3.966000E+0	1.530180E+3	-3.459900E+1	-4.107000E+0
1.539500E+3	-1.522700E+1	-9.070000E-1	1.454500E+3	-8.135200E+1	-4.884900E+1	1.454500E+3	-6.727800E+1	-3.772100E+1	1.454500E+3	-6.800000E+1	-3.852300E+1	1.454500E+3	-6.327900E+1	-3.412000E+1	1.454500E+3	-6.479900E+1	-3.528400E+1	1.454500E+3	-6.629200E+1	-3.701100E+1	1.454500E+3	-6.553300E+1	-3.626400E+1	1.454500E+3	-6.845100E+1	-3.866400E+1	1.500190E+3	-4.933200E+1	-1.964800E+1	1.530190E+3	-3.440900E+1	-4.669000E+0	1.530190E+3	-3.450700E+1	-4.196000E+0	1.530190E+3	-3.415800E+1	-3.837000E+0	1.530190E+3	-3.338300E+1	-3.084000E+0	1.530190E+3	-3.425500E+1	-3.971000E+0	1.530190E+3	-3.455500E+1	-4.063000E+0
