26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.556950E+3	7.840000E+1	-1.015000E+2	1.556950E+3	1.134000E+2	-6.620000E+1	1.556950E+3	2.391000E+1	-1.557900E+2
1.557000E+3	8.258000E+1	-9.732000E+1	1.557000E+3	1.162000E+2	-6.340000E+1	1.557000E+3	2.783000E+1	-1.518700E+2
1.557050E+3	8.189000E+1	-9.801000E+1	1.557050E+3	1.163000E+2	-6.330000E+1	1.557050E+3	2.716000E+1	-1.525400E+2
1.557100E+3	8.419000E+1	-9.571000E+1	1.557100E+3	1.185000E+2	-6.110000E+1	1.557100E+3	3.111000E+1	-1.485900E+2
1.557150E+3	8.626000E+1	-9.364000E+1	1.557150E+3	1.211000E+2	-5.850000E+1	1.557150E+3	3.545000E+1	-1.442500E+2
1.557200E+3	8.432000E+1	-9.558000E+1	1.557200E+3	1.120000E+2	-6.760000E+1	1.557200E+3	2.687000E+1	-1.528300E+2
1.557250E+3	7.646000E+1	-1.034400E+2	1.557250E+3	1.009000E+2	-7.870000E+1	1.557250E+3	1.998000E+1	-1.597200E+2
1.557300E+3	7.915000E+1	-1.007500E+2	1.557300E+3	8.631000E+1	-9.329000E+1	1.557300E+3	1.065000E+1	-1.690500E+2
1.557350E+3	7.064000E+1	-1.092600E+2	1.557350E+3	6.884000E+1	-1.107600E+2	1.557350E+3	-1.262000E+1	-1.923200E+2
1.557400E+3	6.200000E+1	-1.179000E+2	1.557400E+3	4.230000E+1	-1.373000E+2	1.557400E+3	-3.707000E+1	-2.167700E+2
1.557450E+3	5.234000E+1	-1.275600E+2	1.557450E+3	3.154000E+1	-1.480600E+2	1.557450E+3	-3.784000E+1	-2.175400E+2
1.557500E+3	6.324000E+1	-1.166600E+2	1.557500E+3	3.834000E+1	-1.412600E+2	1.557500E+3	-2.905000E+1	-2.087500E+2
1.557550E+3	7.341000E+1	-1.064900E+2	1.557550E+3	5.647000E+1	-1.231300E+2	1.557550E+3	-1.181000E+1	-1.915100E+2
1.557600E+3	7.270000E+1	-1.072000E+2	1.557600E+3	5.880000E+1	-1.208000E+2	1.557600E+3	-7.820000E+0	-1.875200E+2
